ID,Nome,Preferito,Posizione,Durata,Giocatori,Età,Tipologia,Collezione,Note,ParoleChiave,URLImmagine
g0076,È Tutta un'Altra Storia,FALSE,Casa,60,2;4,,Educativo;StrategiaGenerica,,istruttivi,È Tutta un'Altra Storia Casa Educativo;StrategiaGenerica istruttivi,https://www.dl.dropboxusercontent.com/scl/fi/exdua8tyf3hfpugqbp8hl/tuttaAltraStoria.jpeg?rlkey=7t2o99o7k6kwhu75leja0igz8&dl=0
g0077,28,FALSE,Casa,45,2;4,,StrategiaGenerica;Plancia;GestioneRisorse,,tram lisbona,28 Casa StrategiaGenerica;Plancia;GestioneRisorse tram lisbona,https://www.dl.dropboxusercontent.com/scl/fi/wvw3dv6tz2cy5s0ctooia/28.png?rlkey=58391fxze6tob5ohgurgzogo7&dl=0
g0078,Azul - Maître Chocolatier,FALSE,Casa,45,2;4,,StrategiaGenerica;Plancia;GestioneRisorse,,cioccolato mattonelle piastrelle,Azul - Maître Chocolatier Casa StrategiaGenerica;Plancia;GestioneRisorse cioccolato mattonelle piastrelle,https://www.dl.dropboxusercontent.com/scl/fi/0bb7xne3ptuomh468xmso/azulCholatier.jpeg?rlkey=4z2g0ht1yhbdhx5dlcr18ysjh&dl=0
g0079,insektbanko - bug bingo,FALSE,Casa,25,2;10,,Famiglia;Classico,,tiger,insektbanko - bug bingo Casa Famiglia;Classico tiger,https://www.dl.dropboxusercontent.com/scl/fi/rb5sq39n2rbecfzx857i4/bugBingo.png?rlkey=phj584nptw0lbtrcp2n35zw7h&dl=0
g0080,Paise - Il Gioco dei Trulli,FALSE,Casa,60,2;4,,Commercio;Classico;StrategiaGenerica,,monopoli,Paise - Il Gioco dei Trulli Casa Commercio;Classico;StrategiaGenerica monopoli,https://www.dl.dropboxusercontent.com/scl/fi/qinft3d91d5g0ewmde0fn/paiseIlGiocoDeiTrulli.png?rlkey=sukcxjks30ihkikr0k0bhikar&dl=0
g0081,Musefanger - Mouse catcher,FALSE,Casa,10,2;6,5,Velocità;Famiglia,,Acchiappa il topo tiger,Musefanger - Mouse catcher Casa Velocità;Famiglia Acchiappa il topo tiger,https://www.dl.dropboxusercontent.com/scl/fi/55fmh30y6371fo29shh9z/acchiappaTopo.png?rlkey=vo9dthvtwweb0tgzqmmp4irgx&dl=0
g0082,Kill the Unicorns,FALSE,Casa,40,3;6,10,Giornate;StrategiaGenerica,,,Kill the Unicorns Casa Giornate;StrategiaGenerica ,https://www.dl.dropboxusercontent.com/scl/fi/02mgkhwz7hu2haio45pmz/killTheUnicorns.jpg?rlkey=iizbpe60c1smfcrtchty6pgwk&dl=0
g0083,Zen Master,FALSE,Casa,30,3;5,8,StrategiaLogica;Logica,,,Zen Master Casa StrategiaLogica;Logica ,https://www.dl.dropboxusercontent.com/scl/fi/ixj22zyyghse3ok063vwn/zenMaster.jpeg?rlkey=fzof1azc8spzc0bn03kqc1ngb&dl=0
g0084,Jungle Speed,FALSE,Casa,15,2;10,7,PartyGame;Bluff;Velocità,,Limited edition,Jungle Speed Casa PartyGame;Bluff;Velocità Limited edition,https://www.dl.dropboxusercontent.com/scl/fi/6pds3jo6ktgq1cud80hfn/jungleSpeed.jpg?rlkey=qsfupjzqfr9iaovyvogn02tp6&dl=0
g0085,Il gioco della VITA,FALSE,Casa,45,2;4,8,StrategiaGenerica;Plancia;Famiglia,,,Il gioco della VITA Casa StrategiaGenerica;Plancia;Famiglia ,https://www.dl.dropboxusercontent.com/scl/fi/k5tabnta7jn9fy911ai48/giocoVita.jpg?rlkey=9i42sdj08b8g93k8nb636nhrl&dl=0
g0086,Donald Quest,FALSE,Casa,30,2;4,8,StrategiaGenerica;Plancia;Famiglia,,Topolino disney,Donald Quest Casa StrategiaGenerica;Plancia;Famiglia Topolino disney,https://www.dl.dropboxusercontent.com/scl/fi/7bkxkdibo8u8oz2lxrny3/donaldQuest.jpeg?rlkey=m3aa76p50mg6rijprquwbgej8&dl=0
g0087,OK Play,FALSE,Casa,15,2;4,8,StrategiaGenerica;Famiglia,,,OK Play Casa StrategiaGenerica;Famiglia ,https://www.dl.dropboxusercontent.com/scl/fi/2bt5a51951ixfm9nfo3rb/ok-play.jpeg?rlkey=k4w5kof789f6mf0ql7tfj9ez4&dl=0
g0088,Fiches Lire,FALSE,Casa,10,2,8,#N/A,,soldi,#N/A,https://www.dl.dropboxusercontent.com/scl/fi/hr9ahgmdzu10i0bbua1te/fishDalNegro.png?rlkey=1mvz26gjpww9hcryg2f7353lf&dl=0
g0089,Olè GuacaMole,FALSE,Casa,15,2;8,10,Parole;PartyGame,,Ole ,Olè GuacaMole Casa Parole;PartyGame Ole ,https://www.dl.dropboxusercontent.com/scl/fi/1j8x3psnxqi93byua4zuf/guacamole.jpeg?rlkey=91r03m135zen8l6bsxjgaqnql&dl=0
g0090,Antinomy,FALSE,Casa,30,2,8,StrategiaGenerica;Scacchi,,Parigi gemme,Antinomy Casa StrategiaGenerica;Scacchi Parigi gemme,https://www.dl.dropboxusercontent.com/scl/fi/4dsww2jpwx5y3mgdis271/antinomy.jpeg?rlkey=i9z60fflmdf20286uhlm3e0yf&dl=0
g0091,Plagio,FALSE,Casa,20,4;8,12,Creatività;PartyGame,,,Plagio Casa Creatività;PartyGame ,https://www.dl.dropboxusercontent.com/scl/fi/vurvkodmb9jvgiz7qgeh7/plagio.jpg?rlkey=jidjku9y7y8slfztjgepo4olb&dl=0
g0092,Detective,FALSE,Casa,120;180,1;5,13,Deduzione;EscapeRoom;Cooperativo,,,Detective Casa Deduzione;EscapeRoom;Cooperativo ,https://www.dl.dropboxusercontent.com/scl/fi/m87z4mcvm6npdwjmyujlf/detective.png?rlkey=6vyp4jokwflq7uv1rbajpaaoa&dl=0
g0093,Battaglia Navale,FALSE,Casa,15,2,8,StrategiaGenerica;Classico;Famiglia,,,Battaglia Navale Casa StrategiaGenerica;Classico;Famiglia ,https://www.dl.dropboxusercontent.com/scl/fi/yu5fii8myducexzlibw0i/battagliaNavale.jpeg?rlkey=uef652g7my82ms23en96g1x2x&dl=0
g0094,Memory homemade,FALSE,Casa,10,2,4,Memoria;Famiglia,,fatto mano,Memory homemade Casa Memoria;Famiglia fatto mano,https://www.dl.dropboxusercontent.com/scl/fi/ykzgkr6ovnq5e5e0gfjmr/memory.png?rlkey=emwhss90678wysvbscjkwqjg1&dl=0
g0095,Looney Tunes Memory,FALSE,Casa,10,2,3,Memoria;Famiglia,,,Looney Tunes Memory Casa Memoria;Famiglia ,https://www.dl.dropboxusercontent.com/scl/fi/tka3pvqmo5mba5ode2wsr/MemoryLooneyToons.png?rlkey=qgxw62i7vm2fw0h9svddj2xyo&dl=0
g0096,Blank,FALSE,Casa,10,2;6,6,Creatività;Carte;PartyGame,,regole,Blank Casa Creatività;Carte;PartyGame regole,https://www.dl.dropboxusercontent.com/scl/fi/706os087ils030ekly668/blank.jpg?rlkey=vztwma9cod36jk1ly2gehxrb8&dl=0
g0097,Taboo,FALSE,Casa,30,4;16,13,DeduzioneParole;PartyGame,,parole vietate,Taboo Casa DeduzioneParole;PartyGame parole vietate,https://www.dl.dropboxusercontent.com/scl/fi/k91nzvymuu17fw8enye7c/taboo.jpg?rlkey=0ndrmm54y25vfts6oiurw7iju&dl=0
g0098,That's not a hat,FALSE,Casa,15,3;8,8,Memoria;PartyGame,,,That's not a hat Casa Memoria;PartyGame ,https://www.dl.dropboxusercontent.com/scl/fi/6rskxkrc77uwl5mulhk8p/thatNotHat.jpeg?rlkey=q2yv9n1v23k0iyhardpvgog9e&dl=0
g0099,That's not that's not a hat,FALSE,Casa,15,3;8,8,Memoria;PartyGame,,homemade fatto mano,That's not that's not a hat Casa Memoria;PartyGame homemade fatto mano,https://www.dl.dropboxusercontent.com/scl/fi/v3lvcj0ofqneri7hnwv0m/thatsnotThatsnotHat.png?rlkey=lk0hq1mxf158jb6kvh7wt4huj&dl=0
g0100,Flaggy,FALSE,Casa,10,2;10,5,Educativo;Famiglia,,bandiere bandiera flags istruttivo,Flaggy Casa Educativo;Famiglia bandiere bandiera flags istruttivo,https://www.dl.dropboxusercontent.com/scl/fi/xi8xpuhlivteth9q38k3x/flaggy.jpeg?rlkey=fl4z78xv9dogsvmbv2ezsvivp&dl=0
g0101,TimeLine,FALSE,Casa,15,2;6,8,Educativo;Famiglia,,istruttivo louvre monnalisa arte,TimeLine Casa Educativo;Famiglia istruttivo louvre monnalisa arte,https://www.dl.dropboxusercontent.com/scl/fi/ejjne1lgpbjvts7sxwsq2/timeLineLouvre.jpeg?rlkey=uosl1kj89805vbtntl5622zc7&dl=0
g0102,ITZI,FALSE,Casa,15,2;8,6,DeduzioneParole;Velocità;Famiglia,g0124,parole colori,ITZI Casa DeduzioneParole;Velocità;Famiglia parole colori,https://www.dl.dropboxusercontent.com/scl/fi/3poz8c48w653n6a3nro3n/ITZI.jpeg?rlkey=57y1hyuzhy424amqfamvobqg1&dl=0
g0103,Kemikortspill - Chemestry card game,FALSE,Casa,15,2;4,5,Famiglia;Fortuna,,chimica matraccio beuta beute becker becher tiger,Kemikortspill - Chemestry card game Casa Famiglia;Fortuna chimica matraccio beuta beute becker becher tiger,https://www.dl.dropboxusercontent.com/scl/fi/teykryh4aq5h6ngmtiec7/chemistryCardGame.png?rlkey=mcguj0d1gs74jqjlpi5jgwnty&dl=0
g0104,gæt mig! - guess what! Scopri chi sono!,FALSE,Casa,15,3;10,5,Parole;Velocità;Famiglia,,mimo suono versi carte tiger,gæt mig! - guess what! Scopri chi sono! Casa Parole;Velocità;Famiglia mimo suono versi carte tiger,https://www.dl.dropboxusercontent.com/scl/fi/41h1deo5ntnpuptr5yr45/guessWhat.png?rlkey=gvb76ev7ndjdez3ik086mhxkz&dl=0
g0105,C'era una volta,FALSE,Casa,24,2;6,8,Creatività;Carte;Famiglia,,narrazione storie,C'era una volta Casa Creatività;Carte;Famiglia narrazione storie,https://www.dl.dropboxusercontent.com/scl/fi/rur8oaye04usee8oa0qkn/cEraUnaVolta.jpeg?rlkey=xj44wqpedlwyhcujgutdo9u4f&dl=0
g0106,Se Man Ti Ca,FALSE,Casa,30,2;8,8,Parole;Creatività,,istruttivo semantica,Se Man Ti Ca Casa Parole;Creatività istruttivo semantica,https://www.dl.dropboxusercontent.com/scl/fi/jycbpihwc9myf5i90d8gd/semantica.jpeg?rlkey=tds6qrettx2vo0o0t1i2gavqt&dl=0
g0107,Road Trip,FALSE,Casa,15,2;5,8,Portatile;Auto,,portatile automobile macchina,Road Trip Casa Portatile;Auto portatile automobile macchina,https://www.dl.dropboxusercontent.com/scl/fi/t556mqwomvjafiuqnq8re/roadTripGame.png?rlkey=08vzccaxi517ww25ishto17cx&dl=0
